,City,Date,Text,Username
19,Plantation,2022-09-27 23:30:16+00:00,HEAR YE HEAR YE 🌧️🌩️ FLYNN'S ARCADE WILL BE CLOSED THIS WED (9/28) &amp; THURS (9/29) &amp; WILL REOPEN FRI (9/30) BECAUSE OF HURRICANE IAN 🌧️🌩️ with potentially really bad weather coming our way over the next few days we felt it best for everyone's safety 🛟 see you all on Friday 😊👾 https://t.co/rQXCzflSzk,Flynnsgamingfl
20,Sarasota,2022-09-28 02:57:33+00:00,"Some businesses here on the west coast of #Florida have boarded up windows before #Hurricane #Ian makes landfall tomorrow. I noticed other businesses, such as cell phone stores, without wood on their large windows, which is odd to me considering Ian could be a Cat4 at landfall. https://t.co/7wwxGChMx8",JustinFleenor
21,Orlando,2022-09-28 00:09:51+00:00,"@WFTV You guys again are doing a GREAT job keeping up all safe and updated with Hurricane Ian. This hurricane isn't like anything I've ever seen. This bad boy is just what I said ""A BAAD  BOY🤣!""  You guys are so appreciated for a job well job. Thank you 👏🏾😌",Boshank1962
22,Winter Springs,2022-09-29 13:18:13+00:00,A few trees down and flooding around property away from house. Doing well considering the strength of hurricane Ian. Prayers to our neighbors in Southwest Florida 🙏🏽 #HurricaneIan https://t.co/poSvLv14On,rackieperez
23,Brandon,2022-09-28 22:37:10+00:00,Traffic signals may be out at some intersections due to scattered power outages. Please remember to treat intersections without working signals as a four-way stop. #HurricaneIanupdate https://t.co/8jnZ7qs3Mv,TresIslandFL
24,Pembroke Pines,2022-09-27 14:32:25+00:00,"Stay safe Fort Lauderdale - Preparing for a hurricane before it strikes is crucial! 
#florida #hurricaneian #hurricane #fortlauderdale #floridattorney",Weinstein_Legal
25,St. Petersburg,2022-09-27 11:05:51+00:00,"6AM Workout ✅
School ✅
Hurricane Prep✅
Hitting Session ✅
Making every day count! #HurricanIan #everyDayCounts https://t.co/HSzdRcaJ7M",sigler2024
26,Safety Harbor,2022-09-26 14:58:33+00:00,"Single boss-b*tches in Florida, who you riding the storm out with? Your bag? No way everyone is leaving the state.",Americanb4Black
27,Miami,2022-09-23 17:07:22+00:00,"With every storm it becomes more and more clear that Puerto Rico needs to create more microgrid, community-based energy utilities. 

Notable that PR's first electric co-op, @HidroCoop, is reporting full energy on its first microgrid. Plus @casapuebloorg reporting success.",TooMuchMe
28,Safety Harbor,2022-09-27 20:47:44+00:00,Riding my bike on bayshore listening to the halo soundtrack while we await this hurricane &gt;&gt;&gt;&gt;&gt;&gt;&gt;,pasta__papi
29,Lauderhill,2022-09-25 14:30:18+00:00,"@PFTCommenter I’m taking the Eagles to win today at Washington. Jalen Hurts has been good but if FedEx kills him, I know Ian is going to do some damage this week",brett_steinman4
30,Aventura,2022-09-24 17:48:36+00:00,"@mlandres12 @dpburnette @kcampdesign 🤣🤣🤣, Miami is the gateway for the Caribbean Islanders not everyone. We aren't as international as folk make us out to be. The biggest reason why folk ""love"" Mia is the weather. DC, has more to offer from culture to food to jobs to location. Miami isn't what it used to be.",mharrell04
31,Safety Harbor,2022-09-26 11:17:36+00:00,@theone90x I'll have to wait until brunch. Got a couple of important errands to run this morning ahead of hurricane Ian,escapedorlando
32,Aventura,2022-09-28 14:19:15+00:00,Due to hurricane Ian I am with out power and I do not know when #FPL  will fix this issue.,candlesbytasha
33,Aventura,2022-09-28 14:33:07+00:00,Hurricane Ian is cat 5 now(a little monster)Miami still relatively calm 🌀,omartiz
34,Deltona,2022-09-29 09:15:18+00:00,how in gods name we kept power and wifi all night is beyond me this is a wild storm,theREALLarbear
35,Orange City,2022-09-26 10:48:31+00:00,"It seems like every time a hurricane threatens, Christian radio starts playing Praise You In This Storm on repeat.",brad_gwartney
36,Sarasota,2022-09-28 19:15:56+00:00,"Parrish, FL (2:58 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 2:58 PM local time and impacted at least 4 homes.",grid_events
37,Brandon,2022-09-27 18:15:46+00:00,"Reach out today! Licensed in 32 states!  
.
.
.
.
.
#owneroperator #business #goals #entrepreneur #motivation #success #marketing #entrepreneurlife #startup #bhfyp #inspiration #positivevibes #openenrollment #HurricaneIan #Hurricane #NASA #audioleak https://t.co/Fusflv2Mhh",RKAinsurance
38,Maitland,2022-09-29 18:00:57+00:00,Entertaining kids during Hurricane hotel stays 101 #stickermania #gotsomenewink #hurricaneian https://t.co/hdePPETweN,ChipAParker
39,Sunrise,2022-09-26 22:30:10+00:00,Outer feeder bands pushing through South Florida now #HurricaneIan #weather @MikeMasco https://t.co/sKB1ymlli2,MBTV_USA
40,Orlando,2022-09-29 11:46:59+00:00,#Seminole County Sheriff Dennis Lemma says 'no wake' order on flooded street taking effect this morning. Also banned on flooded streets- boats with motors. #Hurricane_Ian #news13seminole @mynews13 https://t.co/63Tky9xAgH,KevinPConnolly_
41,Hollywood,2022-09-28 18:50:31+00:00,"Hurricane Ian.

Experienced safely from the East Coast of Florida. Thoughts go out to the folks on the West.

#hurricaneian #hurricane #tropicalstorm #tropical #storm #blackandwhite #beachstorm #lashing #palmtrees #warmwinds #sandstorm #deluge https://t.co/4hbgh7LLL6",THerrewege
42,Safety Harbor,2022-09-27 04:16:10+00:00,#hurricaneIan #florida #hurricane #update #news,KleVisPalOka11
43,Deltona,2022-09-28 22:00:56+00:00,"Apopka, FL (5:42 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 5:42 PM local time and impacted at least 5 homes.",grid_events
44,Fort Lauderdale,2022-09-27 17:35:31+00:00,FOOTBALL WEATHER,nole9913
45,Plantation,2022-09-27 04:32:17+00:00,"For those in the path of Hurricane Ian: If gas gets scarce, check to see if any local car dealerships have there own (mostly little know) “gas stations” on their property. This has worked out great for me during past storms. https://t.co/gObAAsGpdS",gquinn16
46,Kissimmee,2022-09-25 23:29:20+00:00,My son trying to eat all the Hurricane snacks. Daddy I can get some Oreos. Maaaaannnnnn go ahead bring me two as well. 😂,7Dr3amz
47,Tampa,2022-09-29 14:12:31+00:00,"I live in Florida the  hurricane Ian is not political. The response will be from a national level , state level and local level so Democrats better be careful who you blame cause it might be Biden or local Democrats Leaders. Many mayors are Democrats in big cities in Florida. https://t.co/SHln5Ul2Lx",ScottWa91433575
48,Miami,2022-09-23 15:43:56+00:00,"Ahh, the fall weather. Things cool off, the holiday season is here, fireplaces burning, well, the roads are becoming more dangerous!
 Driving in fall weather is no joke with temporary hazards it provides. For example, wet leaves on the pavement can act just the same as ice. https://t.co/bA5qnSdPmx",RrkkbI
49,South Miami,2022-09-29 19:03:08+00:00,"@JackLinFLL @akosnitzky Bruh, they make a killing during this time a yr. I truly appreciate the work they do. Gone through too many Hurricanes to remember. Seeing them is like seeing the calvary to save the day.",mharrell04
50,Sweetwater,2022-09-24 23:14:18+00:00,Hurricane Party başlasın https://t.co/SKSUniIK28,kurttekinkutay
51,Davie,2022-09-23 19:16:55+00:00,Water already is going fast at Publix stores in Broward. Let the hurricane prep begin!,cindykgoodman
52,Safety Harbor,2022-09-29 20:15:28+00:00,After making it home and dealing with a hurricane. I want to send a thanks and love to @Fsmoot21SeanT  for starting last Sunday off right. https://t.co/sXq1kfXDLS,bubbaswo
53,Coral Springs,2022-09-24 01:46:03+00:00,"Dear Floridians,

My only advice is: stock up!

For a family of four I recommend:
32 cases of water.
8 packs of D batteries.
6 packs of AA batteries.
5 flashlights, per person.
4 propane tanks.
10 5gal gas canisters.
50 sandbags.
100 cans of tuna.
More water.

🙄🙄🤦‍♂️

#Hurricane",CWBOCA
54,Hialeah,2022-09-27 12:41:25+00:00,"Dade Schools: “a Life-Threatening Storm? No problem! What can go wrong?”

Miami Schools right now: https://t.co/VfqaUWjwtG",nolimitnico1
55,St. Petersburg,2022-09-26 18:17:54+00:00,Really disrespectful of hurricane ian to bust through tampa on the week I’m supposed to go to 2 lightning games 😒,mylifeasmo
56,Maitland,2022-09-28 15:22:19+00:00,To my tx people: I will be the Floridian weatherman and update y’all on Ian bitchass,finessidy
57,Fort Lauderdale,2022-09-28 10:14:46+00:00,"@ian_mccabe @drsimonegold @julie_kelly2 And the #lunaticleft you are a part of has never, ever tried to do that. 

That's your take?",voiceofforex
58,Jacksonville,2022-09-29 12:26:37+00:00,"At 7:50 AM EDT, 1 NNE Jacksonville Beac [Amz452 Co, FL] MESONET reports TROPICAL STORM. MESONET STATION 1618W FSWN JACKSONVILLE BEACH WIND OF 50 MPH WITH GUST TO 53 MPH REPORTED. https://t.co/F2WLu5wb5B",iembot_jax
59,Miramar,2022-09-27 02:08:55+00:00,"Oop, already 🌀👀
#Ian",volvoshine
60,Hialeah,2022-09-26 22:46:08+00:00,"LIVE 7PM Open Phones: Broward School Board Candidate Donna Korn, @ChipLaMarca &amp; others remember Pete Antonacci, Hurricane Ian and Much, Much More cc:@GovRonDeSantis @SoFlaOpinion @Buddynevins @TamaracTalk https://t.co/4PcHN925Bi",RedBroward
61,Hialeah,2022-09-27 02:53:10+00:00,Tampa airport closed starting tomorrow @ 5pm! Be safe during this hurricane everyone 😢,JoceMarie7
62,Winter Springs,2022-09-29 23:34:35+00:00,"@DenisPhillipsWx I agree, initially we were supposed to be hit real hard at Madeira Beach but we escaped a bomb, we escaped to Orlando and hurricane Ian followed us there…we arrive back at our beachfront property by lunch today and my wife and I felt guilty for even taking a walk on the beach. https://t.co/DKPfMAST7f",pietro_fiz
63,Miami Gardens,2022-09-27 17:57:25+00:00,"Unfortunately, due to travel issues associated with hurricane Ian the Absolute Queen show scheduled for Friday, 
The new date is December, 15 2022, all current tickets will be honored for the new date.

#thecasinoatdaniabeach #cancel #queentributeshow https://t.co/KQz1cmjLOY",CasinoDaniaB
64,Fort Lauderdale,2022-09-29 19:43:54+00:00,Pack Family Necessities Kits for Hurricane Ian Relief https://t.co/VifnjyUsXu,AlyTasso
65,Lake Mary,2022-09-28 22:03:25+00:00,"thread of movies i’m watching during Hurricane Ian to pass the time + my ratings, because no one asked for this :)",bet_anchor
66,Davie,2022-09-28 15:53:35+00:00,"I know we can easily track hurricanes, but I think what we truly need is a Jim Cantore tracker",RavenKotos
67,Safety Harbor,2022-09-27 22:25:49+00:00,This is something like my 10th hurricane and probably 4th or 5th category 4+.  I saw most of those in the panhandle of Florida (Pensacola area). Ian looks like it shifted south towards fort myers. I expect for us rain and wind for the next week. But hopefully not terrible 2/,Chris_L_Ayers
68,Miami Gardens,2022-09-23 23:54:36+00:00,Ian’s about to cause some trouble @BlackVNeckMusic @truthxliesmusic ⛈,ianallen_dj
69,Weston,2022-09-25 02:47:11+00:00,"Texas Tech won, South Florida is out of the hurricane cone, it’s a good day all around. https://t.co/XHo3Aoyyb7",ErinandEmmainFL
70,North Port,2022-09-27 02:16:02+00:00,I‘ve lived in Florida all of my life and Hurricane Ian is the most unpredictable storm I have experienced. The “experts” still don’t know where it’s going…,PCVikingsFan
71,Plant City,2022-09-26 16:18:55+00:00,@GFoster1982 @antmasiello @webberweather Well more importantly the More Northwest it is headed coming off Cuba the more likely it is to miss the trough pickup I think. A storm moving at all east of due north coming off Cuba would probably get picked up by the trough we're seeing in these midday runs.,AndyHazelton
72,Brandon,2022-09-28 17:44:24+00:00,"What’s your current status in the hurricane? Where, and what’s going on?",BoltsByTheBay
73,Pompano Beach,2022-09-27 13:33:56+00:00,@worldbydev @ddaftl @FTLCityNews @visitlauderdale @RiverwalkFTL We are staying home. The storm is headed toward Tampa. We are on the east coast of @VISITFLORIDA. https://t.co/JGG05ZWUZA,SashaEats
74,Maitland,2022-09-29 01:20:49+00:00,Hurricane Ian heading here in Orlando 😢,MarlouClare
75,Safety Harbor,2022-09-26 14:09:48+00:00,It appears evacuations are coming today for Hillsborough County FL - standby for details. #developing #ian,willnunley
76,Miami Beach,2022-09-26 23:14:16+00:00,Can this hurricane go somewhere else I have a damn lash appointment on Wednesday,paula118_
77,Melbourne,2022-09-28 13:31:53+00:00,Help... Help.. Ei meu amigo Ian vai com calma! 🌪🌪🌪 https://t.co/Ndt966ApV4,PaulinhaFranga
78,Miami Gardens,2022-09-28 11:34:49+00:00,A tornado went through my neighborhood last night and caused damage to the houses behind mine here in Davie. I'm fine though but it sounded like a freight train. It was actually scary.  But things are only going to get worse today as Ian gets closer and makes landfall in FL.,PatrickMurray44
79,Miami Gardens,2022-09-27 23:51:14+00:00,Why the hurricane always miss Miami??,robertcarranza8
80,Titusville,2022-09-29 20:55:33+00:00,"Haunt friends how'd you fare with the storm? 
#floridahaunts",horror_with
81,Sweetwater,2022-09-23 18:07:18+00:00,"Enjoy this gorgeous weather while it lasts 👀
#Miami https://t.co/c5Tidjx938",volvoshine
82,Palmetto Bay,2022-09-23 19:49:06+00:00,@DeniseKShull I may not either since we might get a hurricane,MitchHFPR
83,Weston,2022-09-27 21:17:42+00:00,"Due to the weather related to Hurricane Ian, we will be closed on Wednesday and will reopen Thursday morning at 9 AM. Please continue to track the storm to see what direction Ian decides to take. Stay safe out there and we’ll see everyone soon!

#ehp #evergladesholidaypark https://t.co/sGAvVGBexZ",everglades
84,Clearwater,2022-09-28 16:58:30+00:00,3 miles and a lift done so now if the hurricane mimosa fairy pays me a visit it’s not all input. 😂 downloaded some books to the kindle and some work files to the puter…,leigh0711
85,Lake Mary,2022-09-29 17:50:58+00:00,Hurricane 🌀 Ian got Forte https://t.co/UeScU60GQy,bridget67165982
86,Palm Bay,2022-09-25 12:20:20+00:00,"@Meltart Just changed again, thanks to hurricane Ian 😬😱",BoFrazer
87,Kissimmee,2022-09-29 09:24:18+00:00,"We are riding through Ian at our Orlando area home. Rain totals as of 5am. At daylight, the citizenry of Orlando and surrounding areas will be SHOCKED at the devastation. https://t.co/vNQAGnfvai",STLRS
88,Clearwater,2022-09-29 18:06:34+00:00,I am so thankful I never lost power.,Tom4nash
89,Clearwater,2022-09-28 21:44:49+00:00,Much worse on Tampa Bay.  The water has drained on one side.  Very windy now. #HurricaneIan #Hurricane https://t.co/nICu1HlTDa,TimTyrrellNY
90,Orlando,2022-09-28 19:58:50+00:00,"Yes my hurricane prep included downloading a bunch of @ATWWDpodcast and @BeachTooSandy, what of it",awesammixlive
91,Davie,2022-09-28 00:03:07+00:00,"If y’all want this hurricane to stop lmk, I’ll stop it with one hand ☝🏿",4thQtr_Ninja
92,Pembroke Pines,2022-09-27 15:22:53+00:00,I can’t even tell if my flight is gonna get canceled or not cause this hurricane can’t make up its fucking mind,JoceMarie7
93,Plantation,2022-09-28 19:36:31+00:00,@melindafla Just shy if the storm’s eye.,charliesey60
94,Aventura,2022-09-27 22:57:41+00:00,ian’s churning up the atlantic. https://t.co/YfqUzHnrGz,caitlin__cara
95,Brandon,2022-09-24 17:21:04+00:00,The calm before the potential storm. https://t.co/lrAkj8Z5tR,a_snabes
96,Lake Mary,2022-09-28 16:26:16+00:00,Keep it tuned to @accuweather Network for the latest on #Hurricane #Ian.,JLAngeline
97,Hialeah,2022-09-28 20:45:58+00:00,"Weston, FL (4:31 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 4:31 PM local time and impacted at least 9 homes.",grid_events
98,Davie,2022-09-24 19:15:16+00:00,@Fiddle_Pub_Cat Let’s hope that there is a lot of pleasant weather ahead.,senormoments
99,Brandon,2022-09-27 01:13:12+00:00,@abcactionnews do you have to leave the radar up during the entire football game when the hurricane  is 2 days away!!,felixtimcat
100,Palmetto Bay,2022-09-27 23:52:08+00:00,i’m praying for all who live in tampa 🥺🙏🏾 #HurricanIan,bigdr3a
101,Miami Beach,2022-09-27 00:15:55+00:00,When is the hurricane coming??  The storm today was no joke 😰,MerhRosales
102,Safety Harbor,2022-09-28 19:37:36+00:00,@GrandpaSnarky @MsCharleyS @RealSethPittman @ModProps @CherylHouser8 @Supersk62991308 @Debbie_in_SC_FL @serg1125 @gbrevoort @AndyPopeInTheW1 @cljmo @Woody4123 @DemMSG @Puparazzzi @MCCollArchitect @bobuhasspoken @MegLavDC @dvdpattee @ForBiden46 Thx...in hurricane..rtd.  followed all https://t.co/9zsE13bPc6,Ricka168
103,Maitland,2022-09-29 11:19:01+00:00,Welp there goes the power. #HurricanIan,_lydiamj
104,Titusville,2022-09-28 19:29:57+00:00,"This video was taken about 2 hours ago. Buildings destroyed, homes floating away in Fort Myers Beach, Florida.  I can’t fathom the destruction there now.  Prayers for all of the lives already impacted by Hurricane Ian and all those in it’s path. 🙏🏽🌀 #HuracanIan https://t.co/esdq2iBQPz",AbeLopezFL
105,Titusville,2022-09-29 02:55:39+00:00,This hurricane weather kinda nice 😗,SynjinConner
106,Hollywood,2022-09-28 20:43:12+00:00,"Video from here
#Ian https://t.co/ubzRIKML38",volvoshine
107,Safety Harbor,2022-09-29 04:34:56+00:00,Suppose to be having hurricane sex 🥹,3rdMuva
108,Clearwater,2022-09-28 16:02:02+00:00,"Hurricane update: 15 minutes ago 

(Ian don’t bend me over) 🌀 https://t.co/XBcF6oyYyv",nikeshjs
109,Miami,2022-09-26 19:31:25+00:00,There will be NO Tekken Tournament @UnbrandedBrew tommrow! Please stay safe during hurricane Ian or the Tropical Storm! https://t.co/6LTMo9WReL,heart_con_cafe
110,Kissimmee,2022-09-26 21:09:34+00:00,"With the incoming storm, ensure you and your loved ones living with dementia have a plan.

You can review the resources brought to us courtesy of our friends at the Alzheimer's Association (@alzassociation) here: https://t.co/yuRVYGXY89 https://t.co/taLaeojYXy",AnnaForFlorida
111,Kissimmee,2022-09-28 21:20:04+00:00,@mostra4u I am sorry been on the phone all day my family from all over been calling me to see if I am ok. Are you OK Sis? The bad weather is not here yet.🥰😘🤗,maryann_zaccone
112,Coral Springs,2022-09-29 11:31:26+00:00,I am thankful we are ok and did not get hit by the brunt oh the hurricane 🌀. Prayers to those who are suffering from this storm #karldavisrealtor @ Boynton Beach South Florida https://t.co/sqkcHQ9VYG,SMOOTHSELLING
113,St. Petersburg,2022-09-24 15:25:27+00:00,"As #TropicalStormIan moves closer to Florida, now is the time to prepare for the potential of severe weather. USF COPH’s ElizabethDunn reminds us of some good steps to take…

For more information visit @noaa: https://t.co/uLqkvw1ABT
#HurricaneSeason https://t.co/VfwwqNV1tU",usfcoph
114,Maitland,2022-09-26 20:54:03+00:00,Here in Seminole County will be feeling effects of the storm starting tomorrow night at 9 p.m.,RobertWClark7
115,Palmetto Bay,2022-09-29 00:34:02+00:00,"@World_Surfers @LynnElliotEsq @JBrewerBoston25 @ActionNewsJax It's actual 170 miles. I'm in Miami, which is only 125 miles from Naples. Ft. Myers is 40 miles from Naples, &amp; that forecast was 24 hours ago. These are HUGE differences in a hurricane, even a big one like Ian.",PoliticalSister
116,Maitland,2022-09-28 18:39:38+00:00,Hurricane time 🫡,imikren
117,Clearwater,2022-09-29 17:16:33+00:00,@musicalgypsi Get out if you need to. Looks like it's gonna strengthen back into a hurricane. Ian's not messing around. Sending love and hope your way.❤,DHerkowitz
118,Aventura,2022-09-28 20:45:58+00:00,"Weston, FL (4:31 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 4:31 PM local time and impacted at least 9 homes.",grid_events
119,Aventura,2022-09-27 23:14:37+00:00,"Typical Biscayne
#Miami #flwx #ian https://t.co/joRgY9xwmK",volvoshine
120,South Miami,2022-09-24 21:42:44+00:00,got plenty of alcohol on hand in case this hurricane does hit 🥸🤷🏼‍♂️,eaglesssss
121,Hialeah,2022-09-23 15:14:05+00:00,"Potential CAT 2 storm hitting #miami Tuesday &amp; Wednesday 

Stay safe 

https://t.co/KhuKvszr63",WalksWallstreet
122,Safety Harbor,2022-09-27 03:00:32+00:00,@followthatband Tropical storm we will get that Wednesday,mbrouseoh
123,Orange City,2022-09-25 19:11:07+00:00,Florida the week before a hurricane hits https://t.co/NNChQYkyay,katie_combs
124,Coral Springs,2022-09-28 00:30:27+00:00,"Be safe my fellow Floridians 🙏🏽 Just had a few tornado warnings a few miles away and hope everyone doesn’t get paid a visit from one of them. I chose the worst time to come home 😂

#BrowardCounty #Tornado #HurricanIan",avibma
125,St. Petersburg,2022-09-28 14:18:13+00:00,"A pocas horas de la llegada del huracán Ian, ya siente la intensidad del viento y vemos cómo el nivel del mar se ha reducido a las orillas del parque de Soto. https://t.co/e05AY8xPPF",freddysilvatv
126,Clearwater,2022-09-26 18:47:52+00:00,I'll be heading out at sunrise tomorrow to get more footage ahead of the storm. 🌀 #Clearwater #posterity #HurricaneIan | https://t.co/e0PRBbvo9w,mechellerene_
127,Tampa,2022-09-28 15:06:15+00:00,@SeanSith Thanks! We moved to the (literal) new house that was built like a hurricane-proof fortress because the rental house had a lot of tall and somewhat sketchy trees and was built 50 years ago with only cosmetic updates,stringsn88keys
128,Orlando,2022-09-29 07:36:23+00:00,We lost power around 11 and the wind and rain are relentless.  Now under flood warning. We still have hours of this. #HurricanIan,Gretha_M
129,Clearwater,2022-09-27 23:32:08+00:00,@spann .. calm before the storm. taken in Tampa this evening. https://t.co/kNXhZtutEF,BrodyLeeBower
130,Brandon,2022-09-27 20:22:04+00:00,@Yankees @Hilton I hope Judge hits the HR tonight last thing I’m watching before Hurricane IAN coming right at me.,DamonGonzalez_
131,Sunrise,2022-09-24 01:12:50+00:00,My @Wendys ran out of burgers tonight. Are burgers a hurricane supply and no one told me?,thatrossbloke
132,Miami Beach,2022-09-29 16:09:07+00:00,@Reuters Please pray for everyone and the animals affected by hurricane Ian. Lee County has been devastated. Much of southwest Fl. Has heavy damage and flooding. It's really bad.,flightseven
133,Winter Springs,2022-09-29 14:07:19+00:00,"Nothing like some pancakes after a hurricane... 
Soooooo Good!!
Thanks @RobertIrvine @Rest_Imposs @FitCrunchBars https://t.co/TtdKn0T9Hq",NOBsNow1
134,West Palm Beach,2022-09-29 00:45:54+00:00,"Lake Worth, FL (8:22 PM)Grid Power Outage Event&gt;&gt; The Ting Network detected an Electric Utility Grid Power Outage event. The event started at 8:22 PM local time and impacted at least 4 homes.",grid_events
135,Lantana,2022-09-26 22:25:25+00:00,#Ian #bocaraton #florida #HurricaneIan https://t.co/9Na2xadZpy,VaCastanhari
136,Hialeah,2022-09-29 12:08:25+00:00,"👇🏼POTUS approved this morning - “major disaster” declaration in SW Florida counties affected by Hurricane Ian.

@WPLGLocal10",GlennaWPLG
137,Tampa,2022-09-29 15:04:58+00:00,Florida Search and Rescue teams headed toward the danger to help fellow Floridians in the aftermath of this devastating storm. Our hearts are with you. #FloridaStrong https://t.co/7YYn63MxkC,JessGCostello
138,Palmetto Bay,2022-09-27 11:43:47+00:00,"MARVEL TWO-IN-ONE TUESDAY
Hurricane Ian is approaching.
🫣
Here’s a 1974 early Ghost Rider appearance.
☠️
Writer Steve Gerber
Penciller Sal Buscema
Inker Mike Esposito
Colorist George Roussos
Letterer Charlotte Jetter
Cover Penciller Gil Kane
Cover Inker Joe Sinnott https://t.co/wrBgpomCrd",RobWorst
139,Hollywood,2022-09-28 23:13:44+00:00,"@sprieto37 @akaCarioca @melissahilldees @HayleyTuller @AllisonRoscoe1 @mwaso @JackieRMedina @SelinaSFDC @k_hub44 @Moniquecsmith @TheTiffSpencer @c13moore Yeah, why didn’t you invite us? Hurricane 🌀 survival party at your house!!",gcaballeroinchi
140,Orlando,2022-09-29 21:00:23+00:00,"The scary thing is that Ian was a cat 1 hurricane when it reached Orlando   and it did that much damage , man we lucky it wasn’t anything stronger than that",illitchico
141,Coral Springs,2022-09-29 14:07:54+00:00,"When I point out that idiot people that ARE NOT FROM FLORIDA are screaming and whining about climate change and how the normal hurricane is a poster example of why we need to be so scared that apparently means I’m a climate change denier. 
 
Unfollow me if you’re confused.",toughtalkty
142,Aventura,2022-09-28 20:25:22+00:00,Don’t ask me how the instrument is holding up. But the ferocious northern eyewall of #Ian raked Punta Gorda where @iCyclone is at https://t.co/jXB29FC8Ex,JohnMoralesTV
143,Winter Springs,2022-09-28 14:17:37+00:00,". @uber is offering free rides to approved hurricane shelters in Lee, Charlotte, and Sarasota Co. Enter promo code “IANRELIEF”",KirstinWFTV
